id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,1482,2477,2711,2926,2930,2967,2983,2994,3004,3070,3079,3109,3117,3162,3169,3225,3294,3305,3557,3626,3637,3973,4095,4619
1,2910,3397,3939,4059,4260,4647,4787,5206,5275,5854,5916,6043,6310,6385,7036,7151,7990,7996,8047,8812,8897,9601,10090,11996
2,3552,3588,3661,3798,3830,3838,3918,4101,4126,4130,4189,4313,4314,4320,4355,4368,4373,4721,5026,5095,5456,5842,5949,7321
3,2352,2386,2483,2500,2514,2553,2663,2663,2667,2669,2812,2829,2877,2886,2904,2973,3008,3008,3068,3237,3249,3282,3283,3936
4,4978,5697,6366,7806,8223,8416,8440,10185,10258,10791,11337,11443,13585,14771,15772,17119,19164,20127,20685,21422,21542,21634,24573,24573
5,2773,2845,3759,4088,4146,4259,4390,4559,4579,4702,4801,4873,5196,5333,5405,5469,6183,6377,6559,6816,7184,7763,7948,9817
6,2841,2926,3072,3367,3401,3478,3490,3492,4106,4115,4151,4182,4327,4351,4482,4755,4868,4903,5356,5848,6375,6511,6661,9855
7,5424,9059,11016,12060,12354,12675,13189,14294,14572,15472,15878,16750,16835,16849,17601,18194,19015,19312,19667,19751,20248,21284,21483,23806
8,4170,4467,5043,5344,5369,5556,6072,7714,8594,9005,9149,9552,9694,9730,9849,9928,11300,11819,12108,12312,12638,12681,13420,21599
9,8045,8336,9094,9807,10575,11003,11077,11602,11809,11895,12799,13461,13774,13782,14116,15631,16186,16620,16702,16725,17689,23797,24574,24573
10,10941,11471,12845,12931,14139,14452,16095,16869,17049,17788,18043,18366,19142,19349,19598,19628,20474,20989,21005,21573,21641,21874,22877,24573
11,8333,9482,9658,9804,10535,11803,11807,11889,12043,12183,12392,12793,13079,13147,13779,13924,14573,14877,15190,15733,16343,16781,17519,19737
12,2950,4511,4770,5112,5378,5498,5677,6379,6945,7227,7505,7510,7603,8144,8205,8215,8460,9125,9468,9575,9594,10179,11075,14617
13,4033,5199,6016,6450,7118,7310,8851,8931,9742,10090,11394,11816,11956,12897,16150,16681,17831,17886,17892,18466,18805,24573,24573,24573
14,4922,5466,5724,6076,7306,8074,8142,8733,10462,11938,12266,12355,12419,12945,13546,13669,15034,15817,16678,16702,16953,17261,21333,24573
15,2470,2559,2714,2778,2930,3622,4148,4256,4328,4488,5002,5061,5435,5498,5900,5901,6912,6915,6971,7385,8695,13011,15592,15859
16,5028,5481,6427,6567,6724,6787,6802,6861,7466,7627,8626,8698,8837,10191,11318,11588,11743,14931,15316,16438,18010,18235,18292,19134
17,4091,4698,4745,5069,5408,5410,5428,5849,5989,6255,6266,6478,6712,6723,6747,7207,8766,10287,11819,12326,13221,15993,16258,22713
18,2809,2917,2927,2932,3056,3126,3150,3194,3214,3392,3399,3412,3471,3650,3728,3797,3833,3851,3951,4171,4292,4358,4422,4542
19,4349,5837,6518,7503,7546,7728,7933,8603,8765,9169,9964,10478,10555,12002,13347,13547,14466,14482,16064,18219,18272,19246,21322,22592
20,2552,2598,2703,2759,2870,2951,3001,3041,3229,3266,3639,3665,3713,3760,3923,3975,4000,4437,4500,4858,5198,5528,9594,24573
21,5500,5849,6716,6895,7208,7316,7645,7781,8637,8779,11216,11447,11489,13190,13898,15876,17369,17719,18660,19659,19811,20802,24573,24573
22,13413,18037,20104,20314,20321,21013,21142,21176,21413,21455,22089,22558,23005,23122,23498,23629,24279,24570,24573,24573,24573,24573,24573,24573
23,5640,9705,12206,13030,13396,14078,14290,15139,15500,15518,15821,16073,16379,16399,16817,17094,17458,18170,18370,19012,19459,20866,22300,22900
24,4094,4760,4853,4979,5066,5066,5173,5328,5781,5927,6143,6259,6341,6606,7386,7751,7794,8563,9293,10825,12191,12255,17598,24573
25,8247,8739,9167,9300,10131,11579,12090,12555,12655,12756,12942,13027,15298,15724,16443,20438,20490,20535,21282,22160,23101,23113,24573,24573
26,4108,4135,4988,5062,5082,5088,5265,5286,5439,5624,6019,6127,6660,6865,7022,7101,7368,8132,8518,9312,10408,12353,21619,24573
27,3450,3714,4300,4449,4621,4923,5730,5795,5853,5870,6007,6097,6614,6752,6897,7142,8138,8213,8680,11489,11895,12198,12284,13466
28,10989,12456,13270,18642,19122,19626,19663,20060,20944,21430,21662,22204,22208,22533,23359,24320,24573,24573,24573,24573,24572,24573,24573,24573
29,8426,9222,9618,10316,11892,12560,12574,12578,12823,12966,14483,14659,15080,15367,16205,16264,16924,17366,17557,19720,19848,20658,20777,24107
30,1694,1876,1925,1932,1997,2076,2108,2114,2115,2141,2154,2165,2189,2243,2253,2318,2318,2343,2558,2694,3069,3369,3494,3555
31,5203,5262,5571,6877,7398,7510,7973,8244,8272,8341,8630,9037,9504,9693,11005,12093,12507,12940,15385,16348,16883,17498,17742,18881
32,2740,2976,3004,3029,3185,3305,3375,3380,3404,3440,3452,3611,3673,3706,3716,3869,3921,4089,4138,4217,4366,4416,4620,6215
33,3296,3411,3482,4231,4604,4717,4738,5105,5486,5508,5698,5803,6335,7062,7166,7445,7635,7640,8007,8159,9250,10346,11565,12778
34,5468,5523,5769,6089,6671,6776,6939,7316,7324,7858,7881,8141,8462,8799,9057,9251,9341,9397,10052,10219,10856,11901,12095,17210
35,2753,2908,3006,3132,3158,3243,3254,3282,3282,3285,3334,3374,3399,3408,3430,3482,3511,3543,3637,3653,3832,3875,3893,4055
36,6394,7675,8352,8466,8504,8593,9765,10169,10259,10337,10401,10900,11143,11265,12002,12568,13166,13273,13673,14954,15722,15983,16648,23767
37,2722,2989,3001,3211,3288,3342,3444,3532,3556,3569,3658,3721,3820,3848,3906,3926,4097,4155,4183,4621,4687,4890,7782,9691
38,10278,10967,10995,12635,13035,15070,19357,19892,20011,20649,20782,20987,23930,24534,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
39,11142,12223,12532,13638,14354,14875,15491,16153,16207,16468,16691,16865,16886,17185,17303,17678,17851,18125,18846,19944,20825,20828,21320,21782
40,19822,20511,20605,22624,23668,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
41,8617,10226,10993,11098,11174,11633,11683,12166,12186,13141,13912,14147,14965,15482,16065,17825,20136,20901,21063,21445,21834,22041,22491,24573
42,7860,8326,9936,11383,13291,13472,14072,14561,14764,15732,15837,16062,16162,16391,16549,17406,18283,18628,20487,21777,22045,22427,22463,23185
43,13452,14217,14819,14838,15275,16967,17390,18647,19211,19688,20587,20766,21037,21243,21716,22291,22590,23175,23196,23450,23508,23797,24573,24573
