id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,919,1162,1265,1299,1313,1348,1433,1505,1570,1587,1627,1773,1796,1826,1840,1862,1949,2050,2054,2142,2192,2285,2301,3211
1,1706,2040,2113,2311,2596,2767,2794,3052,3098,3812,3966,4401,4516,4598,4785,5590,5853,5874,6203,8109,8182,8870,9637,10940
2,2908,2958,3580,3605,3628,3629,3776,3801,3809,3940,3988,4248,4390,4714,4942,5091,5292,5554,5596,6306,7200,8206,9273,12663
3,2230,2254,2294,2314,2353,2359,2468,2506,2595,2600,2608,2643,2649,2739,2810,2927,2976,2976,2987,3005,3022,3340,3656,3706
4,4363,6414,9182,9529,9850,10163,10575,12736,12957,14540,14679,14894,15742,16533,16945,18135,18388,19359,20429,20747,20769,21243,21521,24563
5,2482,2518,2672,3077,3435,3632,3724,3747,3761,3812,3987,4270,4527,4544,4668,4863,5019,5158,5364,5528,5642,5677,7049,8150
6,3094,3099,3558,3601,3945,3970,4217,4324,4410,4565,4602,4992,4993,5300,5331,5348,5428,5447,5473,5573,5847,5943,6142,6515
7,4393,9067,9132,9385,10053,10453,10734,10983,11713,11750,12645,13164,13323,13756,14289,15304,15865,15936,16218,16450,16885,20243,20531,24575
8,5215,5779,6143,6449,6647,6752,6788,6794,7180,7267,8042,8234,8308,8596,8666,8868,8926,9253,10071,10753,12899,13752,16566,17349
9,8269,8460,8678,8889,9403,9735,9992,10582,11923,12954,13400,14938,16043,16743,19514,20123,22307,22692,23955,24575,24575,24575,24575,24575
10,5460,9607,9854,10212,13229,13969,14352,15790,15819,16195,16227,16393,17114,17815,18013,18075,18586,18863,19534,19877,19901,19956,20309,21719
11,9498,9782,10215,10450,11100,11276,11706,11816,12115,12157,12697,12701,12882,12966,13110,13703,13713,13898,14018,15429,15761,16604,17856,18270
12,4093,4443,5066,6045,6162,6534,6648,7015,7101,7325,7404,7551,8180,8193,8419,8708,8733,8885,10319,12005,12761,14277,14936,24575
13,4380,4956,5320,5720,5781,6170,6329,7263,7535,7568,8487,9624,10779,11373,11950,12281,12485,12515,12805,15157,17822,19696,22301,23980
14,5745,5854,6058,6845,7395,8057,8546,9080,9946,10271,11275,13646,14074,15343,15593,15719,15785,17033,18287,18929,20037,20410,20583,21256
15,695,904,932,956,956,1023,1032,1119,1181,1186,1206,1283,1326,1341,1369,1383,1474,1569,1612,1656,1685,1691,1920,8411
16,3642,4685,5439,5629,6429,6437,6735,6751,7252,7293,7580,8871,9587,9980,10163,10584,11539,14253,14928,15720,16665,18002,19255,21854
17,3728,4399,4512,4532,4729,5119,5245,5322,5469,5472,5527,5829,6237,6367,6839,7743,8390,8827,10075,12259,13886,15075,17427,24575
18,2894,2899,2932,3048,3086,3088,3102,3152,3196,3215,3283,3303,3492,3523,3608,3620,3642,3803,3803,4166,4244,4347,4490,5498
19,7574,8295,9055,9719,9967,10175,10590,10751,11193,11541,11950,11972,11981,11982,12673,12707,14412,15070,15163,15885,17031,19648,22975,23943
20,2372,2491,2615,2617,2725,2740,2816,2886,2887,2982,3040,3084,3175,3184,3207,3299,3311,3376,3485,3570,3647,3679,4179,6332
