id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
45,2681,2785,2857,3010,3119,3175,3195,3324,3392,3438,3473,3509,3596,3714,3772,3869,3891,3922,4105,4151,4459,4747,4856,4932
46,1275,2010,2060,2115,2116,2170,2185,2193,2211,2382,2427,2446,2742,2772,2801,2803,2970,3007,3008,3382,3416,3870,4637,4654
47,10778,10950,11740,12023,12039,12397,12917,13373,13660,15870,15902,15940,16761,17150,17295,17427,18200,19263,19472,20694,20817,21326,22422,24575
48,3402,3669,3679,3704,3747,3754,4029,4040,4108,4200,4290,4305,4356,4398,4545,4547,4695,4758,5024,5122,5135,5440,5888,7582
49,11990,12895,13168,13398,14968,16012,16517,16641,17408,18072,18282,18579,18863,18904,18992,19021,19312,19313,19550,19871,19998,20293,24575,24575
50,5530,5740,6934,7199,7947,8496,9207,10118,10440,11091,11883,12074,13467,14174,14817,16008,16361,23235,24575,24575,24575,24575,24575,24575
51,6233,6396,6509,6877,6924,7361,7570,7894,8543,8616,8814,9418,9746,10074,10270,10458,10745,11406,11882,12418,13921,14332,15544,15978
52,7338,7930,8021,8249,8597,10299,10361,10615,10983,11704,12158,13209,13753,14214,14263,14793,14900,16143,18332,19539,19575,20554,24266,24575
53,4261,4279,4522,5635,5652,5740,5747,5975,6189,6301,6335,6469,6534,6887,6955,7028,7078,7081,7666,8141,8615,9534,9593,17474
54,7103,7700,8946,9057,10466,10802,11959,13022,13647,13681,14039,14499,14532,14756,14855,16500,16987,17265,17620,18513,20241,21882,24575,24575
55,7174,7322,7491,8022,9077,9638,9819,9885,10924,11298,12200,12466,13800,15271,15275,15489,15778,16195,16240,16819,17363,18262,19157,21933
56,6605,6694,7489,7620,8022,8354,8423,8425,8452,8818,9668,10304,12119,13289,13759,13928,15108,15881,18726,21341,24575,24575,24575,24575
57,6852,8513,10894,13865,17785,17806,18826,21207,22171,23201,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
58,7784,9474,10690,10811,11543,11608,11908,12823,12986,13233,13418,14293,14612,15261,15826,16376,17554,17739,18732,18937,20275,22519,24227,24575
59,14838,16868,18280,18374,18382,19343,19625,19714,20073,20207,20298,20492,20550,20689,21353,21447,23293,23839,24108,24575,24575,24575,24575,24574
