id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,1076,1242,1370,1407,1418,1500,1541,1548,1549,1594,1638,1673,1675,1701,1705,1753,1767,1800,1883,1900,2055,2074,2299,3482
1,719,727,789,873,884,935,945,1056,1125,1314,1348,1650,1778,1794,1805,1870,1909,3552,3912,6054,6951,7690,7912,11485
2,2942,3144,3270,3344,3449,3699,3699,3736,3919,3937,4033,4289,4294,4369,4393,4495,4627,4721,4803,4874,4993,7043,7922,8865
3,2171,2231,2296,2440,2447,2460,2652,2684,2729,2755,2823,2894,3099,3158,3158,3308,3399,3548,3585,3644,3699,3746,3808,3825
4,5961,10232,10672,10799,11724,12813,13212,13963,14416,16040,16608,19009,19826,21296,21504,21527,22547,22946,23296,23399,24328,24573,24573,24573
5,1992,2297,2413,2428,3057,3069,3156,3225,3291,3338,3627,3807,3831,3963,4261,4276,4302,4318,4992,7502,7895,8447,9305,9834
6,2585,2601,2642,2770,2957,3155,3212,3685,3814,3844,3938,3953,3961,4342,4394,4442,4496,4964,5487,5798,6077,7185,7941,17879
7,12971,14638,16240,16284,17075,18136,18962,18992,19450,20069,20499,21453,21771,23500,24147,24245,24573,24573,24573,24573,24573,24573,24573,24573
8,4192,4973,5315,5576,6496,6581,6896,7779,7898,7980,8159,8534,8743,9061,9354,9642,10386,10921,10948,10958,11170,14004,14278,24573
9,10062,10154,10191,10810,10839,11707,11870,12408,14402,16555,16886,17337,17506,19423,21198,21579,22940,23788,24573,24573,24573,24573,24573,24573
10,10568,12975,13187,13842,14459,15313,15507,15722,16325,16578,16928,17458,17488,17916,18391,18495,18638,19106,20062,20410,20740,23774,24573,24573
11,9504,10246,10840,11818,12010,12254,13371,13713,14017,14356,14859,14918,15212,15391,15989,16015,16189,16644,17007,17063,17212,18202,19644,20885
12,4736,5019,5109,5848,5930,6383,6701,6795,7422,7505,7728,8847,9295,9499,9691,11022,11415,14795,15270,16950,24573,24573,24573,24573
13,5066,5350,6025,6143,6390,6712,6871,7534,8844,9721,10040,11214,11776,13181,13328,14251,14853,15774,16013,21897,22192,24122,24573,24573
14,3653,4937,5258,5312,5353,5623,5658,5780,6350,6529,7201,10557,11326,14183,15060,15215,17878,18395,21101,22156,22470,24573,24573,24573
15,1115,1505,2221,2556,2867,3472,3551,3562,3573,3651,3832,3882,4277,4551,4821,5188,5969,6618,6674,9398,11316,15338,16781,18075
16,872,986,1125,1157,1178,1254,1405,1562,1707,1869,1908,1912,1981,2092,2378,2429,2492,2537,3529,8021,10358,10381,12211,17402
17,3669,3938,4026,4497,4971,4981,5127,5862,6761,6769,7540,8837,9711,10053,12360,13052,14237,16284,17516,18932,19667,23422,24573,24573
18,1536,1556,1616,1894,1974,1990,2062,2092,2175,2221,2334,2361,2382,2512,2621,2632,2674,2700,2703,2704,2723,2827,3173,24572
19,7092,8038,9208,10036,10565,11528,11654,12068,12466,12621,13950,14216,14543,14651,16112,16217,16775,17286,17749,18859,19041,20096,21961,24574
20,2390,2801,2846,2848,2884,2987,2991,3151,3197,3244,3256,3338,3378,3720,3882,3939,4118,4201,4314,4810,5954,6346,15015,24339
21,6611,6958,7638,7677,9244,9527,9932,11543,12438,13295,13685,14415,14654,15609,16411,21337,22462,22779,23908,24047,24573,24573,24573,24573
22,14395,14845,15178,16061,16801,18759,19400,19852,20288,20726,21761,21943,22576,23180,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
23,10637,11883,12674,13606,13885,13947,14000,14451,15763,15961,16100,16350,16363,16646,16690,16818,17513,18767,20494,21376,21657,22000,23496,24573
24,3046,4570,5284,5388,5654,5679,5708,6052,6067,6337,7179,7428,7782,7819,8359,8645,8887,9168,9592,9847,9966,11017,12450,24573
25,6101,7360,9583,11054,11805,12162,12405,12930,13560,13821,16325,18265,18585,18718,18843,20247,20824,22011,22485,24573,24573,24573,24573,24573
26,3924,4325,4456,4701,4854,4998,5549,5666,6039,6249,6356,6691,7312,7467,9213,10964,12593,13040,15769,18687,18918,19041,24573,24573
27,3205,4054,4229,4475,4854,4857,5024,5025,5077,5275,5491,5735,5736,5831,5966,6109,6214,6410,6418,6421,6442,6661,7128,7560
28,5680,9470,11465,11482,13138,14779,16102,16855,17007,18472,18958,20422,22109,23278,23397,24306,24548,24573,24573,24573,24573,24573,24573,24573
29,8318,10780,11061,11343,11715,12835,13133,13517,13686,14450,14514,15063,15264,16022,16717,17294,17936,18552,18829,18852,19779,20664,22523,24573
30,1000,1005,1170,1299,1346,1399,1601,1726,1913,1944,1971,1992,1999,2088,2201,2325,2373,2374,2402,2619,3032,3566,3649,4564
31,5146,5180,5462,5787,5867,7123,7482,7649,7938,8052,9651,9655,10059,11275,11591,12481,13332,13430,13484,13571,14051,16095,16277,19745
32,2593,2648,2960,3307,3341,3382,3395,3482,3515,3558,3613,3740,3748,3882,4161,4281,4350,4376,4398,4516,4590,5150,5456,6157
33,1370,1427,1937,2847,2955,3376,3408,3936,3960,4414,4426,4533,4563,4761,4844,5930,6029,6069,6440,6636,7139,9384,11179,13864
34,1371,1404,1534,1592,1713,1868,3433,4740,5184,5256,5616,5820,6586,6840,7753,7830,7899,8000,8356,9230,10244,11348,15089,21331
35,1449,2317,2480,2493,2541,2591,2816,2908,2910,3015,3035,3111,3113,3182,3282,3291,3355,3428,3445,3704,3711,3824,4058,4296
36,2954,3777,3906,4069,4671,4805,4883,4897,5282,5592,6583,6623,9326,9470,11189,11474,13205,14801,15600,15826,18301,19478,20621,21339
37,2434,2533,2601,2666,2816,2857,2993,3127,3170,3222,3235,3343,3449,3455,3457,3541,3722,3846,4262,5007,7811,7958,14440,24573
38,11728,12001,12434,12866,22108,24360,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
39,9524,9734,10169,10554,11581,11916,12875,12888,13072,13315,13454,13770,14034,14585,14778,14881,15805,15812,15845,16469,17451,17782,21005,21295
40,20024,20723,21903,22208,24424,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
41,7197,8495,11401,11435,12414,13243,14135,14424,15185,16275,16794,17048,18300,19571,21421,22716,22996,24239,24355,24573,24573,24573,24573,24573
42,5679,7967,8742,8749,9215,9720,9857,10173,10939,11307,11949,13207,13578,13618,13970,14029,15283,15369,18098,18273,18522,20178,20908,22323
43,12172,13481,13704,14340,15796,16479,16574,16819,16969,17428,18956,19577,20227,21729,22063,22102,22269,22996,23125,23471,24010,24572,24573,24573
44,8166,8735,9415,10025,10076,10964,12245,12547,13150,13266,13330,13898,14620,14929,15222,16007,16099,16104,16844,17139,17989,19169,21552,23491
45,2630,2727,2819,2839,2870,2874,2935,2979,3201,3224,3281,3305,3321,3385,3433,3544,3551,3579,3642,3760,3986,4121,4172,5088
46,937,941,968,982,997,1007,1007,1010,1015,1053,1062,1104,1116,1224,1244,1388,1428,1465,1477,1503,1753,1859,2580,2854
47,9795,11276,12218,12287,15394,15552,16797,17282,17766,17942,18138,18214,19378,19534,20214,20295,22623,23675,24175,24543,24573,24573,24573,24573
48,3040,3151,3459,3637,3683,3751,3754,3778,3829,3908,4137,4256,4300,4338,4383,4395,4406,4488,4652,4823,5203,5674,5992,6852
49,12889,13126,15906,16298,16837,16863,17150,17694,18540,18703,18894,19176,19203,20060,20304,20483,21831,22535,23062,23973,24389,24573,24573,24573
50,6892,7018,8153,8312,8467,8574,8883,9042,12487,13139,17900,18611,20114,20726,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
51,3227,4139,5089,5288,5294,5349,5508,5980,6013,6095,6190,6342,6586,6777,6912,7370,7454,8042,8741,11071,12012,17652,18172,21328
52,10439,10776,11546,11558,11819,14297,15700,15825,17003,17203,18460,19090,19310,21250,22001,22408,22649,22974,23583,23718,24069,24573,24573,24573
53,4819,5103,5483,5710,6606,6651,6904,7310,7474,7552,7555,7568,7792,7910,8177,8910,8950,9266,9970,10002,10747,10767,10777,21803
54,6093,6850,6995,7103,7117,7531,9604,9714,9923,10186,10202,10401,10582,10892,13585,14339,14849,16455,18314,18779,19542,20852,20945,24573
