id,time
0,18
1,106
2,56
3,25
4,273
5,39
6,101
7,267
8,183
9,277
10,251
11,228
12,215
13,260
14,216
15,151
16,121
17,222
18,23
19,231
20,177
21,259
22,278
23,209
24,253
25,260
26,258
27,110
28,273
29,215
30,29
31,188
32,37
33,78
34,124
35,31
36,117
37,109
38,281
39,212
40,283
41,265
42,187
43,244
44,194
45,34
46,20
47,245
48,36
49,269
50,255
51,163
52,268
53,127
54,237
55,200
56,265
57,281
58,267
59,280
