id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,1135,1296,1418,1431,1491,1509,1513,1517,1517,1598,1693,1750,1785,1848,1977,1995,2027,2045,2065,2069,2095,2342,2633,3096
1,815,991,1132,2058,2099,2202,2307,2410,2681,4317,4456,5372,5423,5693,6140,6669,7305,7545,7648,8521,8725,10668,14565,16111
2,3746,3926,3986,4021,4060,4113,4158,4189,4236,4309,4333,4338,4418,4534,4593,4649,4726,5063,5405,5618,5675,6210,7399,8652
3,2390,2449,2493,2569,2587,2663,2729,2730,2735,2750,2759,2763,2838,2849,2909,2939,3212,3361,3437,3529,3558,3578,3641,4004
4,6938,8903,11934,16110,16943,17966,18091,19910,20777,21909,22856,23055,24575,24574,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
5,1897,2247,2849,3036,3144,3190,3251,3255,3368,3403,3566,3615,3650,3897,3920,3941,3968,3980,4147,4412,5005,5044,5114,6052
6,3064,3064,3185,3278,3473,3480,3615,3901,3907,4026,4066,4090,4092,4219,4553,4670,4815,4841,4976,5210,5605,5959,6629,17287
7,6771,11190,12875,13031,15035,15328,15394,15786,15817,15980,17085,19045,20069,22146,22550,23407,23433,23852,24575,24575,24575,24575,24575,24575
8,3445,4405,4527,5310,6049,6525,6900,7005,7840,7980,8947,9051,9083,9177,9519,9884,10801,10981,13335,13875,14216,16548,17402,24575
9,10064,10940,11376,12914,14834,18644,19327,23636,24575,24575,24575,24575,24575,24575,24575,24575,24574,24575,24575,24575,24575,24575,24575,24575
10,10426,13031,14080,14430,14475,15315,15415,15758,16660,16857,17172,17580,17643,17810,17852,17858,17930,18221,18367,19074,22343,23453,24067,24576
11,9905,10459,11599,12187,13165,13403,13904,14010,14246,15179,15904,16514,16641,16689,16698,16819,17805,17814,18382,18991,19056,21985,23669,24575
12,4844,5241,6211,6608,6866,7178,7539,7638,8188,8512,8594,8601,8821,9770,9936,10078,10704,10919,16455,17771,18672,21991,24575,24575
13,5408,6094,7130,7631,8995,9250,11195,12041,13607,14229,14534,15018,15534,16662,17652,19127,23484,24575,24575,24575,24575,24575,24575,24575
14,3949,4381,4972,5368,5618,5937,5960,6014,6557,7052,7666,8105,8382,9382,10274,10329,11262,12713,17477,17529,19906,20693,24575,24575
15,2533,3610,3767,4825,4875,4989,5525,5573,5750,6093,6693,7146,7551,8487,8961,12048,12366,13083,14397,14708,15392,16047,18033,18680
16,1163,1318,1319,1425,1509,1552,1674,2214,2400,2600,2723,4237,6599,6696,7802,8622,9346,9657,10191,10224,11911,12062,14709,17463
17,3203,3505,3720,4128,4586,4633,4696,4960,5679,5694,5962,6309,7860,7952,8085,8374,12211,12461,13019,21193,22280,22374,22900,23511
18,1440,1590,1647,1693,1857,1877,1892,1966,1985,2001,2019,2169,2240,2264,2506,2585,2624,2692,2799,2829,2869,3031,3083,3980
19,7220,9059,10452,11243,12765,13947,14618,14827,15327,15721,16348,16645,16684,16686,17625,18503,18636,18982,20156,20197,20981,22295,22632,23124
20,2925,2995,3184,3309,3684,3807,4089,4105,4195,4257,4260,4291,4450,4486,5239,5799,6702,7010,7808,11325,12865,16440,24575,24575
21,6402,7304,7885,7927,8603,9503,10691,11103,13190,13917,14622,15937,16198,17943,18111,19895,19901,21973,24575,24575,24574,24575,24575,24575
22,15413,17004,18131,18431,20295,21285,22079,22131,22169,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24576,24575,24575,24575
23,5029,7367,7573,9053,9359,11351,11820,12445,13963,13970,14311,14948,14949,15830,16379,17009,17502,18001,18400,18636,19089,19850,21069,22593
24,5092,5468,5740,5862,5962,6700,6962,7238,7691,7721,9085,10945,11629,11921,14225,15335,16801,17434,19982,23581,24575,24575,24575,24575
25,5191,8193,8891,9432,10742,11998,12329,12672,14650,14669,14815,16030,17311,18826,19436,19827,20712,21779,22066,23683,24173,24575,24575,24575
26,3895,4480,5204,5492,5651,6055,6541,11278,12104,12111,13452,14969,15917,17591,18023,18145,19604,22736,23161,24575,24575,24575,24575,24575
27,4036,4597,4762,4918,4932,4943,4991,5033,5320,5442,5454,5642,5708,5749,6077,6082,6398,6539,6676,6958,6986,9223,9784,17545
28,8211,11530,12651,13971,17878,18074,18330,18632,19177,21712,22315,22543,22826,23078,24118,24259,24575,24575,24575,24575,24575,24575,24575,24575
29,8064,9929,9979,10864,11309,12720,13167,13317,13430,13707,13952,15243,15410,16267,16376,16438,17086,17190,17308,18373,20491,20664,21743,21915
30,1072,1489,1663,1664,1780,1801,2079,2163,2205,2224,2366,2652,2678,2679,2786,2899,2908,2911,2927,3311,3602,3888,4265,4686
31,4920,5060,6535,6597,6612,6881,7381,7559,7701,8323,9196,9202,9651,9961,10600,11366,12429,14790,15058,15607,15669,18060,20449,23612
32,2115,2953,3098,3148,3343,3390,3592,3602,3755,3957,4171,4197,4374,4384,4445,4469,4592,4594,4638,4671,4928,5147,5161,5544
33,1101,1251,1432,1502,1509,1568,3308,3324,3510,3638,4190,4257,4265,4579,4731,4777,4855,4903,5903,6107,7388,8027,9125,12229
34,5145,5271,5552,5692,6084,6185,6604,6771,7167,7335,7596,7978,8349,8731,8894,9777,9784,9944,10195,10462,10702,13805,15216,16786
35,2039,2299,2416,2472,2487,3148,3204,3219,3263,3272,3302,3397,3438,3594,3601,3711,3821,3832,3837,4064,4158,4200,4326,4632
36,4649,4789,6330,7266,7565,8050,8300,8545,8980,9584,9599,10704,10745,10847,11174,11640,12519,12819,12845,13007,13207,13326,13711,13860
37,2775,3003,3082,3190,3232,3317,3474,3514,3523,3593,3594,3674,3893,4345,4361,4443,4767,7606,7980,8268,9215,11401,15663,16445
38,14152,16141,17840,22096,22324,22439,22734,23408,23731,23854,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
39,4835,10402,11275,11315,11674,11818,12573,13045,13545,13585,13745,14412,14668,15125,15653,15678,15848,16179,16466,16604,17732,18347,22685,24575
40,16073,20227,24169,24575,24575,24575,24575,24575,24575,24575,24577,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
