id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
42,6452,6677,8926,9224,9814,12038,12714,12980,13033,13351,13406,13988,15701,16334,17366,17563,17578,18011,18343,19650,21693,22358,23056,24547
43,11856,14434,14447,15120,15257,15842,16255,16637,16801,16940,17424,18110,18152,18157,18550,19649,20721,21155,22245,22479,23771,23813,24410,24571
44,6450,7550,8544,10093,10479,10866,11696,12518,13145,13232,13313,13382,13584,13687,13761,14275,14736,14749,15511,16823,16910,18197,19361,20932
45,2527,2546,2619,3066,3198,3255,3265,3269,3275,3282,3363,3407,3419,3560,3564,3644,3687,3703,3721,3938,4016,4028,4955,5009
46,2008,2010,2049,2136,2203,2394,2419,2458,2518,2668,2756,2756,2880,2959,3040,3373,3486,3574,3649,3778,4187,4479,5605,6312
47,9971,10240,10260,10863,11432,11592,11877,13294,13677,14033,14322,14521,15448,15612,16731,16731,17360,18322,18517,18784,19981,20781,21637,24573
48,2563,2821,2949,2952,3081,3255,3297,3479,3486,3796,3799,3950,4071,4140,4227,4249,4310,4411,4491,4555,4644,4714,4961,6115
49,10621,11207,12618,13110,13470,14480,14687,15369,15512,16094,16103,16427,16557,16613,16679,16802,17107,17595,17645,18952,22059,22204,23757,24573
50,6086,6953,6983,7290,8061,8313,9580,12932,15253,16694,16742,17032,17593,20776,20833,20923,21827,24573,24573,24573,24573,24573,24573,24573
51,5478,5609,5784,6190,6312,7006,7196,7340,7405,7683,7785,8033,8300,8314,8372,8453,8745,9134,9719,9724,10371,10668,11016,11253
52,7363,9129,9204,9583,9836,10043,10765,12192,12292,12854,13342,13488,14317,14511,15145,15186,16483,16674,16741,16974,18336,19848,21679,23178
53,4153,4657,4955,5202,5391,5466,5612,6032,6055,6119,6314,6375,6376,6506,6590,6874,6923,7214,7771,7875,8005,8082,9136,9742
54,5175,5644,5799,9316,9548,11149,11284,11346,11475,12083,12493,13283,14612,15273,15359,16570,17105,17340,17442,18338,21119,22211,22865,22991
55,7270,7646,7779,8551,9324,9394,10847,12100,12154,12572,12704,12784,12858,12879,13319,13682,13744,15088,16999,17482,18423,19152,24308,24573
56,6685,6693,7197,7604,7840,8983,9934,11029,11353,11422,12546,12764,12854,13752,14342,14408,14466,15891,16188,18996,24206,24573,24573,24573
57,12484,13418,14279,17592,18441,22137,22543,22800,23337,23591,23961,24346,24400,24572,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
58,8083,9083,9515,9616,9670,10335,12807,13771,13812,14714,15191,15607,17047,17321,17701,17739,18035,18472,18520,19033,20414,21746,24573,24573
59,9737,13421,13950,15526,16279,16850,16928,17320,17576,18228,18254,18588,19273,19807,20111,20321,20633,21949,22461,22947,24087,24573,24573,24573
