id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
46,1979,2139,2157,2427,2443,2480,2712,2861,2928,2952,2980,2995,3116,3216,3412,3754,3775,3825,4288,4777,4891,7965,8612,11030
47,7120,8895,10510,13543,13684,14581,15202,16390,16429,16971,17438,18183,18360,18501,18902,19389,19790,20735,22041,22418,22865,23577,23960,24572
48,3230,3464,3468,3728,4091,4133,4184,4728,4747,5260,5348,5378,6074,6374,6882,7237,7321,7871,8325,9052,16880,19709,22169,23561
49,12665,14987,15350,15939,16577,17782,18305,18579,18766,19109,19758,19789,19831,20448,20679,21903,23212,24060,24153,24573,24565,24573,24573,24573
50,5782,6647,7536,8106,8951,11562,12480,17713,19109,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24572,24573,24573,24573,24573
51,6465,7186,7316,8724,8758,8871,8892,9146,9341,10178,11150,11379,12199,13400,13794,16490,18253,21565,21787,23608,23923,24091,24198,24573
52,10206,11622,12636,13138,13990,15206,15230,15490,15672,16149,16193,17811,18930,19038,19568,20029,21182,22415,23088,24573,24573,24573,24573,24573
53,6999,7107,7214,7301,7818,7976,8071,8841,9340,10198,10269,10566,11231,11992,12626,12873,14380,16543,16668,19083,20530,21026,22091,24573
54,3538,3696,3822,4385,4527,4619,4657,5240,5246,6154,6244,6300,6466,6600,6688,7021,7157,7406,8039,11294,12291,13272,17299,20690
55,5942,5952,5972,6063,6573,8819,8990,9437,10568,12209,12407,13344,13368,13407,14439,14850,16796,18609,18853,19145,19799,19993,21469,23542
56,13525,14121,14508,16692,17179,17272,18295,18988,19026,20646,20877,20989,21552,21949,22051,24162,24203,24573,24573,24571,24573,24573,24573,24573
57,9326,11013,11217,11983,12699,13050,13352,14155,15163,15988,18505,18591,19128,19485,19610,21887,22751,24244,24573,24573,24573,24573,24572,24573
58,15987,16327,17618,17681,18624,18688,19037,19474,20604,20769,20851,21371,21874,22050,22438,22481,23156,23191,23892,24573,24573,24573,24572,24573
59,13398,15116,15343,16418,16969,17495,17893,18895,20640,20711,20769,21706,21851,22004,22351,22699,24002,24043,24573,24573,24573,24573,24573,24573
