id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,2289,2634,2647,2809,2823,2887,2888,2908,2919,2925,3020,3049,3156,3167,3233,3259,3430,3517,3542,3767,4150,4227,4871,5345
1,2723,3339,4014,4132,5118,5343,5353,5513,5989,6180,6285,6714,7037,7338,8209,8732,9330,9473,9716,10319,10604,12367,14628,15656
2,3728,4236,4289,4328,4578,4594,4915,4988,5027,5243,5483,5530,5652,5938,5982,6010,6615,7505,7548,7756,8140,10996,22646,24575
3,2627,2717,2770,2936,3024,3033,3094,3107,3145,3235,3347,3402,3626,3636,3735,3800,3827,3980,4094,4114,4129,4364,4415,4491
4,5171,5572,5881,7399,7689,8318,8615,9014,17078,17117,18218,18562,19681,19894,19960,20480,20700,21026,21499,21741,22074,23164,23339,23736
5,3215,3267,3387,3479,3926,4419,4460,4564,4739,4873,5063,5430,5631,5742,6061,6093,7197,7506,8317,9884,9966,10095,11298,24575
6,2924,3296,3318,3435,3719,3887,3929,3978,3979,4142,4207,4212,4544,4592,4807,5045,5534,5572,5764,6133,6618,8441,8515,15971
7,6165,7431,11828,12763,13439,13506,14629,14819,15122,16019,16069,16076,16507,16582,16596,17018,17335,17420,17642,18109,18846,18918,20682,21751
8,4764,4783,4787,4833,4833,5743,6230,6369,6670,6682,7301,7334,7379,8220,10688,10785,11560,11590,12581,12641,13909,17603,18090,24575
9,8586,8651,9036,10562,11519,11856,12548,13019,14847,14963,15677,18768,20223,24119,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
10,12936,13083,14055,15297,15475,15860,15877,15968,16180,16252,16275,16696,16907,17377,17562,17671,19071,19937,20991,23189,24575,24575,24575,24575
11,12518,12768,13577,13903,14139,14422,14856,14896,15119,15290,15304,15472,16113,16263,16387,16427,16912,17026,18095,18740,18816,19004,20838,23716
12,4271,5753,6174,6294,6392,6464,6479,6748,7360,7743,8556,8567,8762,9435,10293,10658,12494,13698,15700,17312,20022,24575,24575,24575
13,4762,5090,5232,6140,6544,6859,8136,8511,8527,10448,10686,15161,15499,16630,18105,19471,19925,20045,22350,23610,24575,24575,24575,24575
14,4103,5319,5899,7170,7672,7704,7968,8730,8790,8848,8883,9820,9848,9857,11104,11266,11333,14622,16433,18658,21911,22645,24575,24575
15,5769,6154,6156,7798,8037,8541,8714,9208,9753,9915,11662,12085,12162,12477,12582,12711,13868,14376,14544,15037,15592,15622,19774,24575
16,5515,5582,8097,8198,8739,8797,9868,10514,11774,11950,12083,13263,13383,14049,14226,14405,14726,15455,19875,23727,24575,24575,24575,24575
17,3697,5487,5644,5829,6137,6329,6487,6538,6798,7479,7552,8056,8715,9651,9944,11427,16281,16286,16434,17340,20832,24575,24575,24575
18,2811,2884,3160,3175,3312,3408,3478,3505,3727,3784,3885,3992,4028,4029,4093,4194,4346,4545,4812,4814,5091,5198,5267,5363
19,8314,12103,12758,13727,14405,14425,14791,15696,15789,15968,16143,16403,16508,16628,16876,17159,18225,18283,18309,18515,18829,20192,20483,20685
20,3398,3475,3547,3598,3617,3701,3758,3874,4540,4719,4769,4796,6161,7747,7773,8317,12863,13884,14734,14806,14831,17016,18770,20582
21,6667,7904,9651,10239,10289,10855,12461,12599,13609,14014,14046,15107,15609,15640,16744,17283,17862,18305,18723,23089,23893,24575,24575,24575
22,11803,15695,16535,16725,17742,18025,18624,18646,18874,19853,19915,20268,21308,21321,21322,21809,21877,22060,23104,24575,24575,24575,24575,24575
23,7503,7693,9235,10433,11267,11483,11489,13018,13827,13910,13921,14029,14402,14773,15011,15286,15758,16732,17152,18195,24575,24575,24574,24575
24,5208,5422,5643,6531,6761,6825,7382,8372,8382,8518,8564,8756,10044,10413,16454,18292,18705,19994,20071,20864,21412,22059,22158,24575
25,6107,8450,8535,9110,9254,10495,11231,11545,12743,13211,15155,16139,17410,19037,19594,20299,22421,24063,24453,24575,24575,24575,24575,24575
26,4732,5019,5455,5613,5853,8403,9313,9385,9756,9937,10075,10573,10976,11008,11354,11550,11857,14661,15295,17858,19755,20894,20960,24575
27,5544,5743,5847,6198,6420,6430,6773,6988,7002,7110,7260,7575,7636,8136,8651,8951,9134,9773,10250,10637,13626,14144,15034,24575
28,11739,11751,13234,13638,15106,16468,17595,17944,18203,18221,19531,20173,20197,20296,21158,21236,21668,22058,22936,23028,24309,24575,24575,24575
29,9863,10578,10960,10976,11299,11940,12483,13242,13282,13908,14532,14905,16428,16825,16880,17333,18061,19915,20213,20417,20549,24575,24575,24575
30,1870,1992,2092,2432,2531,2573,2629,2656,2678,2765,2848,2975,2984,3080,3144,3190,3296,3320,3548,4750,5220,5631,24572,24575
31,7353,8542,8648,9350,9452,9602,9907,10755,11340,11391,11499,11599,12178,12238,12270,12406,13403,13552,13605,14336,14936,15816,16047,16260
32,3085,3234,3617,3651,3652,3820,3922,4243,4285,4358,4377,4543,4777,4780,4844,4956,5182,5449,5613,5859,5927,6125,11482,12632
33,3527,3797,3988,4051,4108,4307,4749,4755,4997,5113,5156,5197,5198,5288,5362,5722,5749,5957,6349,6669,6772,7114,9122,9669
34,5010,6278,6838,7135,7757,7825,7971,8540,8730,8928,9046,9324,9481,10606,10797,11990,12269,12918,12933,14055,15484,15578,17468,18560
35,2274,2761,2832,2842,2909,2943,2949,3240,3280,3304,3377,3378,3424,3537,3592,3771,4050,4181,4372,4429,5725,6600,24575,24575
36,7581,8136,9762,11271,11361,12244,13819,14894,15026,15567,15937,16195,16294,16589,16602,17102,17270,17394,17906,18988,23066,24323,24575,24575
37,2731,2836,2851,3202,3290,3456,3494,3562,3564,3571,3679,3739,3760,4045,4045,4520,4548,4606,5582,5624,5884,7268,8736,12926
38,12734,13529,15645,19202,19228,20513,21492,22280,22741,22904,23201,24502,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
39,3364,12020,12885,13106,13558,13601,13663,13758,13845,13868,14288,14938,15071,15360,16742,16812,16979,17191,24575,24575,24575,24575,24575,24575
40,13529,14951,16570,16682,18022,18216,18682,18837,18878,19211,20332,20367,20614,21404,21479,22535,23301,23425,23523,23674,24239,24575,24575,24575
41,9560,17296,17684,18630,19618,19653,19845,20309,20785,21329,22138,22390,22546,22982,23473,24026,24099,24575,24575,24575,24575,24575,24574,24575
42,11113,12697,13610,14260,14466,14827,14952,15282,15587,15901,16236,16641,16712,16741,17179,17763,18038,18047,18764,19677,19886,20208,20822,20899
43,13512,14527,14727,14769,15286,16397,17512,18264,18969,19107,19851,20072,20097,20244,20571,20991,21934,23286,24575,24575,24575,24575,24575,24575
44,8785,9367,11150,12985,13736,14461,15392,15490,16023,16336,16407,16562,16830,17026,17752,18133,18202,18582,19137,19640,20742,20939,22071,23815
45,2899,3042,3063,3091,3134,3171,3180,3231,3238,3267,3274,3311,3441,3453,3457,3459,3585,3599,3601,3647,3751,3789,3796,4301
46,1706,2564,2610,2714,2770,2922,3206,3332,3444,3459,3573,3696,3698,3764,3804,3931,4121,4698,4769,5054,5054,5154,24575,24575
47,9958,10188,11610,13607,14852,16551,17632,17716,19781,19876,20361,20426,21245,21837,22083,22240,23109,23824,24575,24575,24575,24575,24574,24575
48,3241,3429,3500,3717,3856,3894,3951,4028,4236,4640,4670,5081,5135,5168,5405,5634,6492,7130,7360,7865,7918,7928,8031,14651
49,9056,12963,13140,14333,14560,15027,15569,15668,15873,15929,15950,17136,18403,18513,18581,18609,18635,18834,18980,19628,19669,20075,22054,24575
50,7400,7856,8767,9172,9953,10225,10330,13071,14841,16621,17376,17510,17827,17880,18512,20346,21640,21764,22402,22480,22703,22878,24575,24575
51,5700,5848,6144,6429,6851,7049,7308,7766,8331,8404,8758,9025,9153,9180,10103,10369,11794,12644,12775,14739,15594,18317,19379,20569
52,9315,11832,14900,15040,16807,17031,17937,18429,19158,19326,19635,19879,20274,21096,21401,21669,21798,22622,22642,22725,23676,24575,24575,24575
53,6233,6711,6803,6953,7177,7290,7293,8878,9408,9601,10032,10778,11026,11141,11693,12025,12456,12617,13509,14800,17943,19707,24575,24575
54,6876,8656,9175,10935,11542,11794,13087,13164,14018,14554,15023,15185,16201,17596,17685,18756,18985,20268,20947,21146,22279,24037,24575,24575
55,7474,8954,12012,12096,12223,12337,12770,12772,13015,14440,14698,14758,14812,15155,15466,15730,15900,16073,16175,17807,18497,18910,19378,20069
56,7309,8074,8317,8799,9873,11201,11678,11986,12611,12979,15221,16765,17240,17277,18915,20316,20668,21641,21728,21855,22091,24574,24575,24574
57,20390,22100,22620,23330,23671,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
58,7361,7644,8693,9246,11606,12610,13210,17796,19273,19281,19815,19924,20097,21672,22464,22838,22941,24323,24575,24575,24575,24575,24575,24575
59,13859,13964,14142,14628,14854,15095,15724,16019,17381,17715,18596,18973,19053,19062,19077,19177,19462,19726,19945,20889,22665,24360,24575,24575
