id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,1388,1429,1461,1493,1511,1534,1572,1577,1592,1596,1758,1812,1828,1847,1868,1891,1912,2047,2213,2246,2285,2324,3622,4149
1,1471,1537,2125,2363,2449,2534,2968,4572,4667,4863,4900,5176,5311,5667,5907,5957,6252,6748,7116,7686,8437,10412,12113,18416
2,3607,3706,3950,4037,4110,4180,4208,4243,4289,4404,4608,4943,5036,5210,5459,5468,5611,6985,8010,8156,8580,8623,8651,9392
3,2738,2752,2764,2772,2780,2790,2825,2825,2851,2880,2998,3026,3028,3055,3076,3086,3127,3191,3274,3311,3391,3611,4261,5136
4,6078,10329,11385,11841,12405,12505,13454,14223,15271,15728,16946,18266,18885,18889,20442,21911,21940,22762,23704,23712,23918,24575,24575,24575
5,2404,2569,2698,3052,3092,3129,3174,3212,3334,3514,3545,3616,3629,3773,3891,4024,4311,4316,4719,4741,5103,5187,5388,7881
6,2737,3252,3561,3712,3852,3934,3981,4221,4233,4289,4471,4514,4553,4556,4648,4699,4936,5330,5695,6461,6647,6856,7369,9998
7,7541,8743,10471,11887,13635,14296,15191,16361,17308,17908,18435,18558,18849,19102,20484,20593,20769,20957,21592,22940,24575,24575,24575,24575
8,5034,5762,5838,7618,7675,7857,8109,8151,8624,8740,9021,9194,9735,10775,10933,11565,11887,13978,14512,15632,16212,16404,24575,24575
9,8158,8177,8718,11081,11223,11765,11769,11948,13935,15397,15477,15684,17985,18254,18993,21352,24575,24575,24575,24575,24575,24575,24575,24575
10,11985,12491,12842,13035,13090,13653,13848,15026,15731,16300,16417,16522,17042,17164,17188,17343,17702,17828,17927,17944,18325,18815,20306,20462
11,9701,10416,10622,10905,11337,11756,11954,12295,12539,12706,13398,13524,13585,14323,14339,14573,14603,15151,15212,15499,15830,16036,16772,19270
12,4713,5487,5590,5603,6202,6205,6380,6718,6781,6871,7145,7208,7444,7711,8179,8843,8960,11998,12772,14489,14904,20436,24575,24575
13,6119,9470,9609,9790,10351,11137,11629,11843,13637,13642,13855,14012,14464,14474,14497,14616,14881,16412,19045,19069,21400,24575,24575,24575
14,4134,4412,4964,5406,5525,5526,5928,6044,6322,6429,6483,6670,6752,8596,9284,9513,10936,11481,13571,20766,22262,23884,24575,24575
15,2253,2945,4409,5468,5921,6183,6291,6531,7551,8069,8409,9780,10947,10982,11089,13035,13952,14011,15745,16594,17853,17883,19372,21626
16,926,1080,1149,1189,1353,1364,1425,1453,1657,1686,1696,1708,2097,3050,3303,6269,7385,8639,9540,9904,10753,14903,15816,16185
17,3802,3851,3917,4648,4866,5070,5566,5855,5979,6235,6264,6409,7264,7849,8159,8727,9962,10190,10392,11678,15347,20224,24575,24575
18,1616,1798,1841,1997,2109,2123,2161,2179,2251,2268,2293,2368,2422,2446,2493,2686,2751,2752,2766,2961,3759,4066,4235,4706
19,7069,9274,9908,10727,12187,13025,13569,13744,14478,15103,15337,15534,15927,16143,16423,17293,17510,17676,17943,18387,20539,22039,23480,23559
20,2442,2853,2960,3246,3247,3304,3466,3680,3735,4037,4862,5539,5802,6059,6097,6936,7538,8392,9484,9849,12395,15055,22047,24575
21,6217,6595,6827,6927,7021,9259,10048,10811,10856,11568,11954,12650,13475,15758,17020,17838,20599,23423,24575,24575,24575,24575,24575,24575
22,11050,13236,15614,16536,16846,17154,17365,17621,17894,17965,18697,19227,19352,21132,23419,23595,23729,24159,24285,24481,24575,24575,24575,24575
23,5792,6381,7853,8434,8869,8900,10705,11300,12661,12926,13691,13871,15429,15434,15763,15869,16803,17114,17384,17475,18002,18790,19002,19540
24,3192,3938,4726,4764,5015,6053,6120,6274,6638,6767,6837,7596,7750,7808,7889,8240,8413,8590,10667,11745,15416,15949,16435,18157
25,5983,6315,6935,7049,7272,7626,9718,9718,9732,10722,11420,12392,14040,14654,15621,15928,16796,17588,17616,19123,23696,24459,24575,24575
26,5036,5264,5521,5717,6089,6221,6555,6784,6923,7366,7745,8634,9311,11897,12658,13702,14481,15394,15525,16394,20852,21232,21528,24575
27,3904,4156,4598,4642,4980,5142,5329,5603,5606,5708,5792,5927,6026,6031,6249,6525,6662,6799,7093,7204,7840,7938,8262,19345
28,8141,8744,8952,9998,10179,12907,13864,17367,18375,18586,19335,21518,21842,22026,22235,22772,24295,24575,24575,24575,24575,24575,24575,24575
29,7139,9118,9684,10975,11550,12422,12868,13026,13137,13401,14136,14303,14634,14829,14938,15254,15454,15894,16475,16738,17403,17705,17995,22265
30,1648,1689,1696,1789,1828,1902,1989,2020,2046,2063,2244,2297,2349,2387,2448,2596,2643,2667,2705,2955,2983,3033,3644,4724
31,5402,6953,6962,7275,7339,7648,8123,8349,8845,9540,9996,10441,12679,12983,12984,13066,13434,13817,13883,14600,14888,15283,16072,17487
32,3523,3532,3546,3618,3634,3650,4055,4091,4173,4271,4352,4488,4553,4560,4599,4724,4940,5135,5324,5335,5351,6246,6445,8289
33,3359,3482,3521,3831,3897,4020,4068,4198,4419,4419,4822,4943,5004,5194,5239,5352,6104,7537,7617,8012,8473,9406,10631,17945
34,4130,5260,5705,6041,6428,6818,7159,7335,7550,7554,7636,8075,8091,8345,8743,11183,11236,11310,12489,12602,12648,13372,14122,17754
35,1844,2333,2445,2690,2748,2855,2921,3012,3050,3127,3264,3295,3370,3386,3563,3599,3606,3709,3719,3727,3785,3786,3848,4053
36,2667,4175,5903,6302,6444,6849,7156,7274,7662,8711,9106,11546,11912,12433,12844,13938,14151,14490,14920,15137,15408,15750,17098,17831
37,2264,2371,2650,2662,2662,2706,2832,3069,3222,3264,3309,3330,3341,3372,3559,3607,3698,3844,3851,4072,5898,6047,11987,15620
38,8973,10927,12075,19309,20307,21125,22404,22818,23209,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
39,9488,10725,11352,11640,11866,12640,12654,12721,13561,13795,13993,14014,14300,14579,14823,15194,15283,15523,16538,17550,19939,20172,20454,24575
40,11458,13496,15392,16643,17121,20566,21656,21726,21788,22391,23025,24426,24575,24575,24575,24575,24575,24575,24575,24575,24575,24573,24575,24575
41,11929,12417,13116,13455,14279,14505,15018,17095,17356,18532,18701,18850,19104,19941,20457,20797,20998,22651,23387,24575,24575,24575,24575,24575
